ФИО,Дата рождения,Адрес доставки,Дата оплаты,Валюта,Сумма
Попов Андрей Гордеевич,1987-09-25,"143090, Московская обл, Краснознаменск г, Строителей ул, дом  7",2021-07-09,EUR,1186.28
Зуев Игорь Олегович,1964-09-08,"693000, Сахалинская обл, Южно-Сахалинск г, Южно-Сахалинская ул, дом  88",2021-12-23,RUB,150917.35
Злобин Матвей Елисеевич,1975-06-23,"141410, Московская обл, Химки г, Дружбы ул, дом  5",2021-07-30,EUR,781.01
Казакова Надежда Ильинична,1985-05-18,"119192, Москва г, Винницкая ул, дом  15, корпус ",2021-03-18,RUB,18402.53
Кузьмин Алексей Евгеньевич,1995-08-22,"121248, Москва г, Кутузовский пр-кт, дом  13",2021-10-15,RUB,192342.93
Кочеткова Анна Владимировна,2000-11-05,"115573, Москва г, Мусы Джалиля ул, дом  6, корпус  1",2021-05-31,EUR,483.11
Воробьева Татьяна Викторовна,1986-12-01,"Москва г, Свободы ул, дом  6/3",2021-09-13,EUR,414.98
Иванов Алексей Владиславович,1982-09-27,"125414, Москва г, Клинская ул, дом  4, корпус  3",2021-02-17,RUB,85307.97
Пономарев Григорий Даниилович,1988-06-01,"109382, Москва г, Егорьевский проезд, дом  4",2021-08-20,RUB,113957.33
Филиппов Дмитрий Никитич,1970-02-07,"141090, Московская обл, Королев г, Юбилейный мкр, Ленинская ул, дом  12",2021-07-19,RUB,62046.16
Евдокимов Игорь Олегович,1993-12-04,"Ставропольский край, Кировский р-н, Новопавловс",2021-04-26,RUB,104790.0
Леонова Мария Максимовна,1972-03-14,"188910, Ленинградская обл, Выборгский р-н, Приморск г, Выборгское ш, дом  7",2021-11-11,RUB,40631.01
Афанасьева Ева Викторовна,1978-05-17,"129366, Москва г, Ракетный б-р, дом  5",2021-09-27,RUB,51433.29
Лопатин Артём Андреевич,1996-09-09,"Москва г, Новохохловская ул, дом  14, корпус  1",2021-01-27,RUB,167709.82
Кравцова Варвара Макаровна,1968-03-03,"129085, Москва г, Мира пр-кт, дом  83",2021-04-01,RUB,17455.89
Афанасьева Ева Викторовна,1978-05-17,"140009, Московская обл, Люберецкий р-н, Марусино д, Заречная ул, дом  37, корпус  6",2021-12-03,RUB,45073.9
Рыбаков Эмиль Владимирович,1963-04-26,"140155, Московская обл, Раменский р-н, Электроизолятор п, дом ",2021-09-28,RUB,109413.94
Фролов Денис Ильич,1993-02-15,"693020, Сахалинская обл, Южно-Сахалинск г, Милицейская ул, дом  11",2021-10-04,RUB,32402.77
Родионова Лейла Викторовна,1995-02-19,"105082, Москва г, Бакунинская ул, дом  32-36, корпус  1",2021-01-05,USD,463.15
Кулешова Ксения Михайловна,1996-07-15,"693010, Сахалинская обл, Южно-Сахалинск г, Победы пр-кт, дом  14",2021-03-29,RUB,6972.0
Ананьева Алиса Тимофеевна,1973-02-04,"115598, Москва г, Загорьевская ул, дом  16, корпус  2",2021-04-10,USD,717.68
Богомолов Дмитрий Михайлович,2000-07-12,"129281, Москва г, Менжинского ул, дом  32, корпус  2",2021-09-16,RUB,100873.13
Михайлов Никита Максимович,1989-01-19,"125130, Москва г, Нарвская ул, дом  9",2021-04-23,RUB,57148.3
Леонова София Ярославовна,1980-01-13,"111024, Москва г, Энтузиастов 2-я ул, дом  5, корпус ",2021-10-16,USD,63.08
Богомолов Дмитрий Михайлович,2000-07-12,"127018, Москва г, Складочная ул, дом  6, корпус  2",2021-11-20,RUB,57272.08
Наумов Фёдор Миронович,1989-09-24,"141406, Московская обл, Химки г, Совхозная ул, дом  16",2021-09-06,RUB,61981.01
Кочеткова Анна Владимировна,2000-11-05,"125480, Москва г, Туристская ул, дом  25, корпус  5",2021-04-30,EUR,298.58
Смирнова Анна Адамовна,1970-07-05,"109386, Москва г, Новороссийская ул, дом  16",2021-12-04,USD,2291.27
Волков Михаил Викторович,1956-10-04,"111396, Москва г, Союзный пр-кт, дом  10",2021-03-22,RUB,40939.74
Орехов Захар Андреевич,2002-01-16,"109235, Москва г, Батюнинская ул, дом  6",2021-03-31,RUB,18780.8
Гущина Стефания Викторовна,1982-07-09,"199226, Санкт-Петербург г, Вадима Шефнера ул, дом  6",2021-08-15,RUB,37702.86
Мухина Елизавета Максимовна,1983-12-22,"123154, Москва г, Народного Ополчения ул, дом  21, корпус ",2021-10-10,EUR,110.94
Кулешова Агата Георгиевна,1978-08-08,"194362, Санкт-Петербург г, Парголово п, Приозерское (Осиновая Роща) ш, дом  12, корпус  1",2021-02-09,RUB,73993.53
Ермолаев Сергей Юрьевич,1995-03-27,"194291, Санкт-Петербург г, Северный пр-кт, дом  121, корпус  1",2021-08-09,RUB,177571.7
Захарова Анастасия Кирилловна,1988-01-28,"192238, Санкт-Петербург г, Бухарестская ул, дом  78",2021-11-27,RUB,84979.33
Савицкая Ева Григорьевна,1982-01-13,"143913, Московская обл, Балашиха г, Балашихинское ш, дом  10",2021-11-04,EUR,476.25
Шестакова Маргарита Александровна,1989-11-10,"191124, Санкт-Петербург г, Тульская ул, дом  7",2021-03-29,RUB,34667.89
Савицкая Ева Григорьевна,1982-01-13,"125080, Москва г, Волоколамское ш, дом  7",2021-07-30,RUB,14492.55
Калинина Амина Арсентьевна,1988-08-30,"194362, Санкт-Петербург г, Парголово п, Приозерское (Осиновая Роща) ш, дом  12, корпус  2",2021-09-26,RUB,27909.93
Егорова Виктория Дмитриевна,1967-09-20,"141406, Московская обл, Химки г, Совхозная ул, дом  27",2021-05-30,USD,209.82
Филиппов Михаил Дмитриевич,1977-07-09,"693010, Сахалинская обл, Южно-Сахалинск г, Победы пр-кт, дом  14",2021-01-15,RUB,41599.13
Алексеева Александра Семёновна,1986-08-16,"117342, Москва г, Бутлерова ул, дом ",2021-09-28,RUB,15053.11
Потапова Виктория Михайловна,1963-06-23,"140054, Московская обл, Котельники г, Новая ул, дом  11",2021-04-27,RUB,25874.6
Михеев Макар Александрович,1952-10-03,"127543, Москва г, Лескова ул, дом  25",2021-05-22,RUB,12473.17
Маркина Вера Игоревна,1971-12-20,"123181, Москва г, Кулакова ул, дом  7",2021-11-29,USD,1100.88
Казакова Надежда Ильинична,1985-05-18,"125464, Москва г, Пятницкое ш, дом  8",2021-10-11,RUB,165100.55
Леонова Злата Арсентьевна,1977-12-02,"119071, Москва г, Донской 2-й проезд, дом  4, корпус  1",2021-11-17,RUB,61985.0
Кулагин Максим Максимович,1981-12-19,"108850, Москва г, Бориса Пастернака (п Внуковское) ул, дом  41",2021-11-03,EUR,2200.78
Николаев Всеволод Давидович,1976-07-18,"192283, Санкт-Петербург г, Олеко Дундича ул, дом  25, корпус  2",2021-11-30,RUB,78078.29
Гаврилова Виктория Ивановна,1985-12-10,"123098, Москва г, Маршала Новикова ул, дом  11",2021-08-02,RUB,49070.22
Родионов Денис Александрович,1983-08-19,"117149, Москва г, Болотниковская ул, дом  36, корпус  3",2021-05-28,USD,1584.73
Филиппов Константин Егорович,1995-04-09,"142121, Московская обл, Подольск г, Юбилейная ул, дом  1, корпус  1",2021-09-05,RUB,118990.3
Филиппов Константин Егорович,1995-04-09,"119620, Москва г, Солнцевский пр-кт, дом  25/2",2021-04-30,RUB,109258.83
Калинина Амина Арсентьевна,1988-08-30,"125167, Москва г, Ленинградский пр-кт, дом  36, корпус  36",2021-01-20,RUB,61653.7
Сорокина Милана Ильинична,1979-07-07,"117519, Москва г, Кировоградская ул, дом  28, корпус  2",2021-08-12,RUB,68961.47
Тихонов Егор Артёмович,1998-06-11,"125284, Москва г, Ленинградский пр-кт, дом  29, корпус  2",2021-11-09,RUB,177285.87
Злобин Матвей Елисеевич,1975-06-23,"105077, Москва г, Парковая 15-я ул, дом  18, корпус  1",2021-06-07,RUB,190686.5
Кочеткова Анна Владимировна,2000-11-05,"109652, Москва г, Поречная ул, дом  3, корпус  1",2021-10-19,USD,1013.5
Титов Кирилл Львович,1975-02-17,"119180, Москва г, Полянка Б. ул, дом  1/3",2021-11-30,RUB,268075.28
Попов Даниил Степанович,1972-06-22,"141983, Московская обл, Дубна г, Орджоникидзе ул, дом  4",2021-06-07,USD,1426.97
Морозов Константин Владиславович,1959-06-15,"Московская обл, Пушкинский р-н, Черноземово д",2021-12-14,USD,145.88
Кузьмин Алексей Евгеньевич,1995-08-22,"127644, Москва г, Лобненская ул, дом ",2021-12-10,EUR,2781.41
Попова Есения Робертовна,1974-05-07,"143900, Московская обл, Балашиха г, Энтузиастов ш, дом  54",2021-04-18,RUB,49663.29
Ковалева Алиса Матвеевна,1996-09-03,"125222, Москва г, Генерала Белобородова ул, дом  14, корпус  2",2021-05-08,EUR,512.57
Маслова Маргарита Максимовна,1980-06-16,"109443, Москва г, Юных Ленинцев ул, дом  71, корпус  2",2021-07-25,EUR,354.74
Алексеев Захар Степанович,1984-01-21,"127238, Москва г, Нижнелихоборский 3-й проезд, дом  8",2021-05-19,USD,892.27
Беляева Вероника Александровна,1965-12-09,"119602, Москва г, Академика Анохина ул, дом  2, корпус  6",2021-11-08,RUB,84146.12
Ильина Софья Леонидовна,1989-11-17,"125475, Москва г, Петрозаводская ул, дом  28, корпус  4",2021-04-28,USD,1787.76
Устинова Елизавета Павловна,1995-01-17,"108831, Москва г, Щербинка г, Барышевская Роща ул, дом  22",2021-06-03,RUB,117233.8
Козина Александра Матвеевна,1970-10-28,"141407, Московская обл, Химки г, Молодежная ул, дом  50",2021-07-12,RUB,26436.95
Моргунова Таисия Давидовна,1975-11-20,"143581, Московская обл, Истринский р-н, Павловская Слобода с, Ленина ул, дом  8",2021-02-18,EUR,290.92
Быкова Валерия Александровна,1967-03-02,"117519, Москва г, Кировоградская ул, дом  28, корпус  2",2021-05-21,RUB,42169.22
Васильев Роман Даниилович,1977-02-05,"129626, Москва г, Павла Корчагина ул, дом  4",2021-08-16,RUB,170833.86
Беляев Дмитрий Степанович,1970-04-17,"195197, Санкт-Петербург г, Васенко ул, дом  12",2021-12-07,RUB,24782.27
Горбунов Александр Вячеславович,1999-08-29,"117534, Москва г, Кировоградская ул, дом  44А, корпус  2",2021-04-16,EUR,70.12
Филиппов Михаил Дмитриевич,1977-07-09,"192288, Санкт-Петербург г, Малая Бухарестская ул, дом  10, корпус  1",2021-09-21,RUB,160496.31
Рыжова Аврора Давидовна,1972-10-25,"117461, Москва г, Балаклавский пр-кт, дом  38",2021-09-06,RUB,6264.59
Трофимов Фёдор Сергеевич,2001-07-15,"117463, Москва г, Паустовского ул, дом  4",2021-10-30,EUR,822.19
Трофимова Амина Никитична,1950-03-13,"129337, Москва г, Палехская ул, дом  11, корпус  2",2021-06-06,USD,37.75
Злобин Матвей Елисеевич,1975-06-23,"111558, Москва г, Молостовых ул, дом  15, корпус  4",2021-11-22,RUB,32415.51
Шаров Тимур Львович,1968-03-26,"196158, Санкт-Петербург г, Пулковская ул, дом  8, корпус  3",2021-03-15,RUB,73244.85
Рыжова Аврора Давидовна,1972-10-25,"141301, Московская обл, Сергиево-Посадский р-н, Сергиев Посад г, Новоугличское ш, дом ",2021-12-07,USD,767.66
Кузнецов Даниил Ярославович,1958-11-10,"115114, Москва г, Кожевнический 2-й пер, дом  1",2021-03-17,RUB,34089.46
Седов Степан Александрович,1993-06-24,"111250, Москва г, Красноказарменная ул, дом  14А, корпус  2",2021-08-31,RUB,283158.83
Давыдова Виктория Андреевна,1996-05-12,"196143, Санкт-Петербург г, Ленсовета ул, дом  30",2021-05-02,RUB,56469.58
Соболева Ангелина Ильинична,1999-09-14,"117447, Москва г, Черемушкинская Б. ул, дом  3, корпус  2",2021-11-11,RUB,46164.45
Исакова Полина Леонидовна,1961-10-02,"117593, Москва г, Айвазовского ул, дом  2",2021-03-20,RUB,18789.7
Волошин Даниил Дмитриевич,1964-10-01,"119049, Москва г, Якиманка Б. ул, дом  40, корпус  7",2021-10-07,RUB,63505.63
Шилов Артём Николаевич,1954-06-27,"192283, Санкт-Петербург г, Загребский б-р, дом  43",2021-08-18,RUB,23033.44
Воробьев Эмин Егорович,1955-07-01,"109028, Москва г, Певческий пер, дом  1/2, корпус  1",2021-11-11,USD,746.15
Беляев Дмитрий Степанович,1970-04-17,"195299, Санкт-Петербург г, Черкасова ул, дом  10, корпус  2",2021-03-29,RUB,73842.47
Леонова Мария Максимовна,1972-03-14,"450105, Башкортостан Респ, Уфа г, Академика Королева ул, дом  4",2021-12-19,RUB,49088.4
Кузьмин Александр Александрович,1982-12-30,"195176, Санкт-Петербург г, Металлистов пр-кт, дом  15",2021-04-02,RUB,49252.26
Фомина Анастасия Тиграновна,1973-03-18,"125445, Москва г, Ленинградское ш, дом  112/1, корпус  1",2021-06-11,RUB,35635.8
Кондратьев Никита Александрович,1957-04-01,"111396, Москва г, Свободный пр-кт, дом  39, корпус  1",2021-08-09,RUB,16690.27
Смирнова Надежда Макаровна,1971-05-26,"141406, Московская обл, Химки г, Нахимова ул, дом  14",2021-02-17,USD,536.15
Филиппов Дмитрий Никитич,1970-02-07,"115516, Москва г, Севанская ул, дом  3",2021-10-07,USD,3345.86
Макарова Арина Дмитриевна,1957-01-11,"105275, Москва г, Уткина ул, дом  39",2021-09-18,RUB,45851.17
Попова Есения Робертовна,1974-05-07,"197374, Санкт-Петербург г, Беговая ул, дом  5, корпус  2",2021-06-19,RUB,55700.77
Потапова Виктория Михайловна,1963-06-23,"123103, Москва г, Генерала Глаголева ул, дом  13, корпус  2",2021-01-27,USD,220.86
Аксенов Семён Семёнович,1977-01-27,"119454, Москва г, Удальцова ул, дом  73",2021-04-07,EUR,847.44
Шишкин Никита Иванович,1986-06-17,"105094, Москва г, Госпитальный Вал ул, дом  5, корпус  11",2021-10-14,RUB,196719.52
Лопатин Артём Андреевич,1996-09-09,"191015, Санкт-Петербург г, Суворовский пр-кт, дом  36",2021-01-13,RUB,27899.25
Гаврилов Владимир Даниилович,1958-07-25,"117485, Москва г, Профсоюзная ул, дом  98, корпус  6",2021-09-06,RUB,106591.13
Щербаков Андрей Демидович,1965-08-13,"192236, Санкт-Петербург г, Софийская ул, дом  40, корпус  1",2021-05-05,EUR,926.11
Греков Валерий Алексеевич,1993-08-16,"196608, Санкт-Петербург г, Пушкин г, Алексея Толстого б-р, дом  9",2021-12-09,RUB,120380.57
Иванова Василиса Филипповна,1988-08-27,"111677, Москва г, Маресьева ул, дом  6, корпус  1",2021-01-28,RUB,33179.93
Иванова Полина Мироновна,1973-12-13,"105066, Москва г, Красносельская Нижн. ул, дом  35, корпус  49",2021-05-14,RUB,67311.09
Дмитриев Валерий Кириллович,1963-04-18,"105523, Москва г, Щелковское ш, дом  92, корпус  7",2021-12-22,USD,417.85
Павлова Елизавета Глебовна,1975-08-21,"141195, Московская обл, Фрязино г, Мира пр-кт, дом ",2021-05-21,RUB,103147.44
Сомова Анна Андреевна,1976-02-23,"119501, Москва г, Веерная ул, дом  30, корпус  2",2021-07-26,RUB,75319.02
Казакова Надежда Ильинична,1985-05-18,"195271, Санкт-Петербург г, Кондратьевский пр-кт, дом  64, корпус  4",2021-10-15,RUB,116889.74
Мельникова Нина Александровна,1978-11-18,"107113, Москва г, Русаковская ул, дом  31",2021-08-04,RUB,54273.37
Борисова Малика Тимофеевна,1996-04-16,"108814, Москва г, Сосенское п, дом  24, корпус  2",2021-08-16,RUB,77212.92
Попова Арина Александровна,1963-10-05,"125445, Москва г, Валдайский проезд, дом  10, корпус  1",2021-05-12,RUB,19311.49
Николаева Мария Владимировна,1987-04-11,"117587, Москва г, Варшавское ш, дом  114, корпус  3",2021-09-21,RUB,17665.71
Бабушкина Кристина Тимуровна,1966-08-17,"140009, Московская обл, Люберецкий р-н, Люберцы г, Митрофанова ул, дом  4",2021-02-09,RUB,39840.7
Игнатова Алина Андреевна,1972-02-21,"109559, Москва г, Белореченская ул, дом  12",2021-08-03,RUB,43304.18
Кириллова Алиса Александровна,2000-06-02,"192007, Санкт-Петербург г, Днепропетровская ул, дом  65",2021-10-12,RUB,18117.58
Жилин Виктор Григорьевич,1964-03-03,"187330, Ленинградская обл, Кировский р-н, Отрадное г, Советская ул, дом  23",2021-10-19,RUB,63983.34
Соболева Анна Кирилловна,1961-09-05,"105037, Москва г, Прядильная 2-я ул, дом  8",2021-05-20,USD,465.88
Кузнецов Платон Денисович,1992-11-09,"123290, Москва г, Шелепихинская наб, дом  34, корпус  1",2021-04-22,EUR,1943.64
Лебедева Анастасия Александровна,1964-01-09,"127081, Москва г, Ясный проезд, дом  7",2021-11-08,EUR,327.14
Кудрявцева Александра Михайловна,1997-12-02,"127221, Москва г, Шокальского проезд, дом  31, корпус  1",2021-07-24,RUB,44400.29
Антонова София Леонидовна,1987-05-13,"140103, Московская обл, Раменский р-н, Раменское г, Приборостроителей ул, дом  12",2021-09-17,RUB,145677.26
Попова Анна Ярославовна,1991-06-15,"197110, Санкт-Петербург г, Глухая Зеленина ул, дом  4",2021-02-08,RUB,48904.43
Титов Кирилл Львович,1975-02-17,"117624, Москва г, Скобелевская ул, дом  20",2021-10-09,RUB,134385.39
Осипов Глеб Романович,1964-02-27,"107370, Москва г, Гражданская 4-я ул, дом  36",2021-04-01,RUB,68962.27
Климов Андрей Филиппович,1998-12-06,"140501, Московская обл, Луховицкий р-н, Луховицы г, Тимирязева ул, дом  120",2021-04-07,RUB,74134.89
Винокурова Екатерина Сергеевна,1974-05-19,"119019, Москва г, Гоголевский б-р, дом  23",2021-03-19,RUB,116833.59
Романова Алина Тиграновна,1989-09-16,"115304, Москва г, Кантемировская ул, дом  3, корпус  1",2021-03-23,RUB,78005.09
Владимиров Максим Степанович,1979-09-11,"109548, Москва г, Гурьянова ул, дом  2, корпус  4",2021-12-24,RUB,203540.91
Воронов Артём Михайлович,1967-10-30,"192171, Санкт-Петербург г, Ивановская ул, дом  29",2021-07-21,RUB,191281.52
Шестакова Маргарита Александровна,1989-11-10,"105120, Москва г, Сергия Радонежского ул, дом  12, корпус  2",2021-04-09,RUB,120090.91
Козлова Кристина Марковна,1972-09-27,"108851, Москва г, Щербинка г, 40 лет Октября ул, дом  11/2",2021-09-21,USD,218.34
Румянцева Вера Степановна,1965-03-15,"125008, Москва г, Черепановых проезд, дом  38, корпус  1",2021-09-10,RUB,73782.7
Аксенова Екатерина Алексеевна,1969-12-17,"123182, Москва г, Авиационная ул, дом  68",2021-04-21,RUB,76446.79
Баранов Никита Маркович,1965-11-18,"195299, Санкт-Петербург г, Черкасова ул, дом  21",2021-09-04,RUB,166295.3
Соболева Ангелина Ильинична,1999-09-14,"115569, Москва г, Маршала Захарова ул, дом  13",2021-06-20,RUB,31303.03
Анисимова Ксения Руслановна,1979-08-07,"140002, Московская обл, Люберецкий р-н, Люберцы г, Калинина п, дом  23",2021-06-18,EUR,410.05
Родионов Илья Матвеевич,1999-09-23,"108815, Москва г, Филимонковское п, дом  3",2021-03-30,USD,42.11
Быкова Мария Константиновна,1974-12-17,"129272, Москва г, Трифоновская ул, дом  45",2021-04-26,RUB,76207.63
Васильев Роман Даниилович,1977-02-05,"141073, Московская обл, Королев г, Чехова ул, дом  13",2021-07-18,RUB,27167.28
Гончаров Иван Тимурович,1987-09-09,"105523, Москва г, Парковая 15-я ул, дом  47, корпус  1",2021-01-04,RUB,145932.6
Кузнецов Богдан Сергеевич,1985-09-10,"693008, Сахалинская обл, Южно-Сахалинск г, Пушкина ул, дом  118",2021-05-20,RUB,12387.85
Седов Глеб Фёдорович,1967-10-27,"143965, Московская обл, Реутов г, Юбилейный пр-кт, дом  17",2021-04-27,RUB,56194.24
Григорьев Тигран Даниэльевич,1974-12-03,"197371, Санкт-Петербург г, Мартыновская ул, дом  14, корпус  1",2021-08-12,RUB,62388.56
Голубева Эмилия Тиграновна,1967-12-16,"117525, Москва г, Сумской проезд, дом ",2021-11-19,USD,735.2
Гришин Глеб Артёмович,1972-10-09,"198218, Санкт-Петербург г, Матросова (Володарский) ул, дом ",2021-05-12,USD,1115.62
Смирнов Александр Максимович,1983-01-12,"195220, Санкт-Петербург г, Бутлерова ул, дом  11, корпус  1",2021-11-13,RUB,79714.71
Романова София Викторовна,1999-05-11,"198217, Санкт-Петербург г, Лени Голикова ул, дом  112",2021-09-02,RUB,19160.07
Козлов Сергей Макарович,1977-12-05,"115487, Москва г, Новинки ул, дом  4",2021-11-15,RUB,142498.55
Смирнова Анна Адамовна,1970-07-05,"141551, Московская обл, Солнечногорский р-н, Голубое д, Родниковая ул, дом  2, корпус  6",2021-03-05,RUB,33523.2
Гаврилова Мария Александровна,1956-10-12,"196641, Санкт-Петербург г, Металлострой п, Садовая ул, дом  6",2021-07-04,RUB,3787.6
Новикова Анастасия Дмитриевна,1968-02-17,"124575, Москва г, Зеленоград г, Панфилова ул, дом  15А",2021-09-19,RUB,33698.56
Жилин Виктор Григорьевич,1964-03-03,"195297, Санкт-Петербург г, Просвещения пр-кт, дом  78",2021-07-03,RUB,71530.74
Черкасов Демьян Ярославович,1981-08-24,"196135, Санкт-Петербург г, Типанова ул, дом  7",2021-06-19,RUB,38480.28
Маслова София Ярославовна,2000-01-31,"115533, Москва г, Высокая ул, дом  13",2021-12-13,RUB,27252.95
Савельева Александра Фёдоровна,1993-05-12,"129327, Москва г, Шушенская ул, дом  12",2021-08-23,RUB,63160.83
Попов Матвей Сергеевич,1966-10-29,"127106, Москва г, Алтуфьевское ш, дом  13, корпус  2",2021-04-13,RUB,116817.38
Баженов Даниил Даниилович,1975-04-19,"125565, Москва г, Конаковский проезд, дом  19",2021-05-18,EUR,1421.25
Майорова Дарья Александровна,1972-03-12,"107143, Москва г, Николая Химушина ул, дом  5, корпус  1",2021-04-11,EUR,393.96
Волкова Вероника Дмитриевна,1986-09-14,"141407, Московская обл, Химки г, Бабакина ул, дом  5А",2021-04-09,RUB,41535.7
Носов Михаил Артурович,1984-11-06,"197342, Санкт-Петербург г, Черной речки наб, дом  51",2021-03-31,RUB,115257.42
Архипов Михаил Никитич,1987-06-07,"117624, Москва г, Поляны ул, дом  5А, корпус  1",2021-06-15,RUB,99427.15
Прокофьев Роман Львович,1990-10-22,"194292, Санкт-Петербург г, Культуры пр-кт, дом  22, корпус  2",2021-08-06,USD,1383.39
Юдин Леон Дамирович,2000-08-26,"140140, Московская обл, Раменский р-н, Удельная дп, Полевая ул, дом  51",2021-06-15,RUB,39799.17
Егорова Арина Родионовна,1963-10-16,"127206, Москва г, Астрадамская ул, дом  5",2021-07-28,RUB,34033.52
Щербаков Илья Максимович,1991-12-11,"127106, Москва г, Ботаническая ул, дом  41, корпус ",2021-03-02,RUB,164891.19
Кузнецов Григорий Михайлович,1986-02-07,"121467, Москва г, Ельнинская ул, дом  18, корпус  2",2021-06-22,RUB,79610.16
Кузьмин Алексей Евгеньевич,1995-08-22,"197082, Санкт-Петербург г, Богатырский пр-кт, дом  50, корпус  1",2021-04-23,RUB,141106.44
Михеев Макар Александрович,1952-10-03,"109469, Москва г, Перервинский б-р, дом  17, корпус  1",2021-05-25,RUB,35102.82
Попов Фёдор Иванович,1952-04-26,"195176, Санкт-Петербург г, Металлистов пр-кт, дом  15",2021-05-21,EUR,190.61
Мальцев Ярослав Львович,1986-08-11,"117216, Москва г, Грина ул, дом  1, корпус  8",2021-06-24,EUR,1771.06
Власов Даниил Дмитриевич,1992-08-27,"127540, Москва г, Дубнинская ул, дом  20, корпус  4",2021-11-01,USD,5204.96
Алексеев Артём Кириллович,1953-01-03,"141730, Московская обл, Лобня г, Окружная ул, дом  13",2021-08-18,RUB,14718.83
Афанасьев Даниил Маркович,1968-02-20,"141195, Московская обл, Фрязино г, Мира пр-кт, дом ",2021-04-05,RUB,36376.46
Соболева Ангелина Ильинична,1999-09-14,"119620, Москва г, Солнцевский пр-кт, дом  26, корпус  1",2021-07-30,RUB,45821.53
Павлов Всеволод Григорьевич,1979-02-24,"190005, Санкт-Петербург г, 5-я Красноармейская ул, дом  17",2021-03-18,RUB,36967.33
Смирнов Александр Максимович,1983-01-12,"142007, Московская обл, Домодедово г, Авиационный мкр, Академика Туполева пр-кт, дом  20",2021-12-11,EUR,212.15
Леонова София Ярославовна,1980-01-13,"198328, Санкт-Петербург г, Героев пр-кт, дом  26, корпус  3",2021-05-11,RUB,81313.85
Смирнова Надежда Макаровна,1971-05-26,"129329, Москва г, Тенистый проезд, дом  8",2021-08-24,RUB,52180.83
Злобина Анна Матвеевна,1999-10-09,"198332, Санкт-Петербург г, Ленинский пр-кт, дом  92, корпус  3",2021-02-05,RUB,63933.99
Капустин Георгий Миронович,1995-12-09,"127473, Москва г, Самотечная ул, дом  13",2021-07-06,RUB,185227.82
Макарова Арина Дмитриевна,1957-01-11,"127549, Москва г, Пришвина ул, дом  13Б",2021-06-25,USD,340.6
Шестаков Платон Демидович,1995-06-22,"125481, Москва г, Свободы ул, дом  85, корпус  3",2021-08-23,RUB,68656.28
Винокурова Екатерина Сергеевна,1974-05-19,"125368, Москва г, Дубравная ул, дом  38",2021-03-20,RUB,64357.0
Трофимова Сафия Сергеевна,1984-05-16,"195176, Санкт-Петербург г, Революции ш, дом  33, корпус  5",2021-02-08,RUB,83073.98
Захаров Виктор Михайлович,1976-02-17,"199178, Санкт-Петербург г, 15-я В.О. линия, дом  46",2021-06-07,RUB,127754.83
Романова Алина Тиграновна,1989-09-16,"192007, Санкт-Петербург г, Боровая ул, дом  59-61",2021-09-13,EUR,371.6
Максимов Андрей Андреевич,1955-06-16,"198320, Санкт-Петербург г, Красное Село г, Гражданская ул, дом ",2021-07-28,RUB,26894.72
Гончаров Лев Михайлович,1980-08-09,"193168, Санкт-Петербург г, Дыбенко ул, дом  18, корпус  1",2021-07-23,RUB,12205.62
Лебедев Даниил Адамович,1966-11-19,"117630, Москва г, Академика Челомея ул, дом  4",2021-01-31,RUB,51406.43
Кузьмин Андрей Кириллович,1996-06-04,"109518, Москва г, Саратовская ул, дом  31",2021-05-28,RUB,230155.77
Наумов Фёдор Миронович,1989-09-24,"117556, Москва г, Варшавское ш, дом  69, корпус  1",2021-02-05,RUB,183486.75
Седов Степан Александрович,1993-06-24,"119297, Москва г, Родниковая ул, дом  16, корпус  4",2021-03-25,EUR,1603.58
Козлов Игорь Иванович,1986-08-04,"129090, Москва г, Мещанская ул, дом  14",2021-06-23,EUR,47.66
Демидов Матвей Юрьевич,1970-07-13,"127434, Москва г, Ивановская ул, дом  14, корпус  1",2021-06-19,RUB,40681.37
Фомин Артём Владимирович,1999-10-01,"117041, Москва г, Адмирала Лазарева ул, дом  72",2021-12-03,RUB,41082.77
Мухина Елизавета Максимовна,1983-12-22,"117628, Москва г, Грина ул, дом  42",2021-05-17,RUB,97801.5
Кузнецов Али Максимович,1972-03-06,"109129, Москва г, Текстильщиков 8-я ул, дом  13, корпус  2",2021-08-13,USD,283.03
Филиппов Константин Егорович,1995-04-09,"125599, Москва г, Бусиновская Горка ул, дом  1",2021-07-29,USD,1678.69
Быкова Валерия Александровна,1967-03-02,"140005, Московская обл, Люберецкий р-н, Люберцы г, Смирновская ул, дом  32",2021-06-20,USD,403.18
Савельева Александра Фёдоровна,1993-05-12,"142455, Московская обл, Ногинский р-н, Электроугли г, Школьная ул, дом  38",2021-02-15,USD,1349.35
Седов Степан Александрович,1993-06-24,"192174, Санкт-Петербург г, Седова ул, дом  128",2021-06-17,RUB,50673.62
Фетисов Богдан Платонович,1982-06-09,"127549, Москва г, Костромская ул, дом  6, корпус  2",2021-01-19,EUR,663.02
Куликов Максим Михайлович,1995-06-14,"117447, Москва г, Дмитрия Ульянова ул, дом  43, корпус  2",2021-10-28,EUR,1569.11
Тихонов Егор Артёмович,1998-06-11,"140090, Московская обл, Дзержинский г, Денисьевский проезд, дом ",2021-08-13,EUR,1052.85
Рыжова Аврора Давидовна,1972-10-25,"105425, Москва г, Щелковский проезд, дом  3, корпус  2",2021-08-13,RUB,30846.93
